URLs,Title,Year,Genres,IMDB Rating,Duration,Age Rating,Countries,Streaming
https://www.justwatch.com/in/movie/longlegs,Longlegs,2024,"Crime, Horror, Mystery & Thriller",6.7,1h 41min,A,"United States, Canada","Amazon Prime Video, Apple TV, Apple TV"
https://www.justwatch.com/in/movie/ctrl-2024,CTRL,2024,"Mystery & Thriller, Drama",6.3,1h 39min,,India,Netflix
https://www.justwatch.com/in/movie/inside-out-2,Inside Out 2,2024,"Comedy, Drama, Animation, Kids & Family, Action & Adventure, Fantasy",7.6,1h 37min,U,United States,"Hotstar, Apple TV, Amazon Video, Apple TV"
https://www.justwatch.com/in/movie/level-cross,Level Cross,2024,"Drama, Mystery & Thriller",6.7,1h 56min,UA,India,"Amazon Prime Video, aha"
https://www.justwatch.com/in/movie/sector-36,Sector 36,2024,"Mystery & Thriller, Drama, Crime",7.2,2h 4min,A,India,Netflix
https://www.justwatch.com/in/movie/munjha,Munjya,2024,"Comedy, Horror",6.4,2h 3min,UA,India,"Hotstar, Bookmyshow"
https://www.justwatch.com/in/movie/double-ismart,Double Ismart,2024,"Action & Adventure, Science-Fiction, Mystery & Thriller",2.9,2h 36min,UA,India,"Amazon Prime Video, Jio Cinema, Amazon Video"
https://www.justwatch.com/in/movie/challengers,Challengers,2024,"Romance, Drama, Sport, Comedy",7.1,2h 12min,A,"Italy, United States","Amazon Prime Video, Apple TV, Amazon Video, Apple TV"
https://www.justwatch.com/in/movie/its-whats-inside,It's What's Inside,2024,"Mystery & Thriller, Science-Fiction, Comedy",6.6,1h 43min,A,United States,Netflix
https://www.justwatch.com/in/movie/it-ends-with-us,It Ends with Us,2024,"Drama, Romance",6.5,2h 10min,A,United States,"Zee5, Amazon Video, Apple TV, Apple TV, Bookmyshow"
https://www.justwatch.com/in/movie/laila-majnu,Laila Majnu,2018,"Drama, Romance",7.7,2h 19min,UA,India,"Zee5, VI movies and tv"
https://www.justwatch.com/in/movie/kottukkaali,Kottukkaali,2024,Drama,6.5,1h 44min,,India,"Amazon Prime Video, aha"
https://www.justwatch.com/in/movie/vicky-vidya-ka-woh-wala-video,Vicky Vidya Ka Woh Wala Video,2024,Comedy,7.1,2h 32min,UA,India,Bookmyshow
https://www.justwatch.com/in/movie/vaazha,Vaazha: Biopic of a Billion Boys,2024,Drama,7.3,2h 5min,UA,India,Hotstar
